route; type_of_day; information; times
303a;WEEKDAY;None;{'Ponta Delgada': '14h00', 'Bom Despacho': '14h10', 'Quartel': '14h20'}
303a;WEEKDAY;None;{'Ponta Delgada': '18h10', 'Bom Despacho': '18h20', 'Quartel': '18h30'}
303a;WEEKDAY;None;{'Ponta Delgada': '18h40', 'Bom Despacho': '18h50', 'Quartel': '19h00'}
303a;WEEKDAY;None;{'Ponta Delgada': '19h15', 'Bom Despacho': '19h25', 'Quartel': '19h35'}
303a;WEEKDAY;None;{'Ponta Delgada': '20h00', 'Bom Despacho': '20h10', 'Covoada': '20h30', 'Quartel': '20h20'}
303a;WEEKDAY;None;{'Quartel': '06h45', 'Bom Despacho': '06h55', 'Ponta Delgada': '07h05'}
303a;WEEKDAY;None;{'Quartel': '07h50', 'Arribanas': '07h45', 'Bom Despacho': '08h00', 'Ponta Delgada': '08h10'}
303a;WEEKDAY;None;{'Quartel': '08h25', 'Bom Despacho': '08h35', 'Ponta Delgada': '08h45'}
303a;WEEKDAY;None;{'Quartel': '09h25', 'Covoada': '09h20', 'Bom Despacho': '09h35', 'Ponta Delgada': '09h45'}
303a;WEEKDAY;None;{'Quartel': '10h35', 'Covoada': '10h30', 'Bom Despacho': '10h45', 'Ponta Delgada': '10h55'}
303a;WEEKDAY;None;{'Quartel': '11h45', 'Covoada': '11h40', 'Bom Despacho': '11h55', 'Ponta Delgada': '12h05'}
303a;WEEKDAY;None;{'Quartel': '12h35', 'Covoada': '12h30', 'Bom Despacho': '12h45', 'Ponta Delgada': '12h55'}
303a;WEEKDAY;None;{'Quartel': '13h40', 'Arribanas': '13h35', 'Bom Despacho': '13h45', 'Ponta Delgada': '13h55'}
303a;WEEKDAY;None;{'Quartel': '14h30', 'Bom Despacho': '14h40', 'Ponta Delgada': '14h50'}
303a;WEEKDAY;None;{'Quartel': '15h35', 'Covoada': '15h30', 'Bom Despacho': '15h50', 'Ponta Delgada': '16h00'}
303a;WEEKDAY;None;{'Quartel': '16h45', 'Covoada': '16h40', 'Bom Despacho': '16h50', 'Ponta Delgada': '17h00'}
303a;WEEKDAY;None;{'Quartel': '17h40', 'Bom Despacho': '17h50', 'Ponta Delgada': '18h00'}
303a;WEEKDAY;None;{'Quartel': '19h10', 'Bom Despacho': '19h20', 'Ponta Delgada': '19h30'}
303a;SATURDAY;None;{'Ponta Delgada': '08h00', 'Bom Despacho': '08h10', 'Quartel': '08h20'}
