id; stop; times; type_of_day; information
219-12h30;219;{'Ponta Delgada': '12h30', 'Ponta Delgada - Hospital': '12h42', 'Fajã de Cima': '12h48', 'São Vicente - Atafona': '13h00', 'Capelas - Navio': '13h04', 'Capelas - Rossio': '13h05', 'Santo António - Cruz': '13h12', 'Santa Bárbara - Ramal': '13h17', 'Remédios': '13h22', 'Ajuda - Igreja': '13h27', 'João Bom': '13h40'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
219-16h00;219;{'Ponta Delgada': '16h00', 'Ponta Delgada - Hospital': '16h12', 'Fajã de Cima': '16h18', 'São Vicente - Atafona': '16h30', 'Capelas - Navio': '16h34', 'Capelas - Rossio': '16h35', 'Santo António - Cruz': '16h42', 'Santa Bárbara - Ramal': '16h47', 'Remédios': '16h52', 'Ajuda - Igreja': '16h57', 'João Bom': '17h08'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
219-18h15;219;{'Ponta Delgada': '18h15', 'Ponta Delgada - Hospital': '18h27', 'Fajã de Cima': '18h33', 'São Vicente - Atafona': '17h45', 'Capelas - Navio': '18h49', 'Capelas - Rossio': '18h50', 'Santo António - Cruz': '18h57', 'Santa Bárbara - Ramal': '19h02', 'Remédios': '19h07', 'Ajuda - Igreja': '19h12', 'João Bom': '19h25'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
219-19h00;219;{'Ponta Delgada': '19h00', 'Fajã de Cima': '19h18', 'São Vicente - Atafona': '19h30', 'Capelas - Navio': '19h34', 'Capelas - Rossio': '19h35', 'Santo António - Cruz': '19h42', 'Santa Bárbara - Ramal': '19h47', 'Remédios': '19h52', 'Ajuda - Igreja': '19h57', 'João Bom': '20h10'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
207-09h05;207;{'Varzea': '09h05', 'Mosteiros - Ramal': '09h15', 'Ajuda - Ramal': '09h35', 'Remédios': '09h40', 'Santa Bárbara - Ramal': '09h45', 'Santo António - Cruz': '09h50', 'Capelas - Rossio': '09h57', 'Capelas - Navio': '09h58', 'São Vicente - Atafona': '10h02', 'Fajã de Cima': '10h13', 'Ponta Delgada - Hospital': '10h21', 'Ponta Delgada': '10h33'};WEEKDAY;None
207-16h25;207;{'Sete Cidades - Ponte': '16h25', 'Varzea': '16h40', 'Mosteiros - Ramal': '16h45', 'Ajuda - Ramal': '17h05', 'Remédios': '17h10', 'Santa Bárbara - Ramal': '17h15', 'Santo António - Cruz': '17h20', 'Capelas - Rossio': '17h27', 'Capelas - Navio': '17h28', 'São Vicente - Atafona': '17h32', 'Fajã de Cima': '17h43', 'Ponta Delgada - Hospital': '17h51', 'Ponta Delgada': '18h03'};WEEKDAY;None
207-07h15;207;{'Ponta Delgada': '07h15', 'Ponta Delgada - Hospital': '07h27', 'Fajã de Cima': '07h36', 'São Vicente - Atafona': '07h48', 'Capelas - Navio': '07h52', 'Capelas - Rossio': '07h53', 'Santo António - Cruz': '08h00', 'Santa Bárbara - Ramal': '08h05', 'Remédios': '08h10', 'Ajuda - Ramal': '08h15', 'Mosteiros - Ramal': '08h35', 'Varzea': '08h45'};WEEKDAY;None
207-14h35;207;{'Ponta Delgada': '14h35', 'Ponta Delgada - Hospital': '14h47', 'Fajã de Cima': '14h56', 'São Vicente - Atafona': '15h08', 'Capelas - Navio': '15h12', 'Capelas - Rossio': '15h13', 'Santo António - Cruz': '15h20', 'Santa Bárbara - Ramal': '15h25', 'Remédios': '15h30', 'Ajuda - Ramal': '15h35', 'Mosteiros - Ramal': '15h55', 'Varzea': '16h05', 'Sete Cidades - Ponte': '16h15'};WEEKDAY;None
207-07h15;207;{'Ponta Delgada': '07h15', 'Av Principe Mónaco': '07h20', 'Ponta Delgada - Hospital': '07h27', 'Fajã de Cima': '07h35', 'São Vicente - Atafona': '07h48', 'São Vicente - Igreja': '07h50', 'Fenais da Luz - Igreja': '07h53', 'Fenais da Luz - Bairro': '07h54', 'Capelas - Navio': '07h57', 'Capelas - Rossio': '07h59', 'Santo António - Cruz': '08h04', 'Santa Bárbara - Ramal': '08h10', 'Remédios': '08h14', 'Ajuda - Ramal': '08h21', 'João Bom': '08h29', 'Mosteiros - Ramal': '08h41', 'Varzea': '08h46', 'Sete Cidades - Igreja': '08h56', 'Sete Cidades - Ponte': '09h01'};SATURDAY;None
207-14h35;207;{'Ponta Delgada': '14h35', 'Av Principe Mónaco': '14h40', 'Ponta Delgada - Hospital': '14h47', 'Fajã de Cima': '14h55', 'São Vicente - Atafona': '15h08', 'São Vicente - Igreja': '15h10', 'Fenais da Luz - Igreja': '15h13', 'Fenais da Luz - Bairro': '15h14', 'Capelas - Navio': '15h17', 'Capelas - Rossio': '15h19', 'Santo António - Cruz': '15h24', 'Santa Bárbara - Ramal': '15h30', 'Remédios': '15h34', 'Ajuda - Ramal': '15h41', 'João Bom': '15h49', 'Mosteiros - Ramal': '16h01', 'Varzea': '16h06', 'Sete Cidades - Igreja': '16h16', 'Sete Cidades - Ponte': '16h21'};SATURDAY;None
